temperature,irradiance,power
4.331244235543872634e+01,7.375657124766578363e+02,4.195621753404015664e+01
3.545460897310449866e+01,9.590888165764058613e+02,4.846102073473872451e+01
2.578523701721358208e+01,2.021625711148021480e+02,1.251012890084731666e+01
2.811095861398024454e+01,7.177573231152288145e+02,3.281484792092091851e+01
3.592893587781794906e+01,6.803137896781116751e+02,1.354049561840946581e+01
1.680676414887809500e+01,6.709916879762305371e+02,3.074424815832819036e+01
3.500300146337002616e+01,9.702162558721939831e+02,3.968561345518202188e+01
3.511913608854477786e+01,2.134973386960317612e+02,1.361350606054588042e+01
2.131147683221522726e+01,7.571859445611601132e+02,4.584657387477837176e+01
1.886778892964559873e+01,8.509429197614907707e+02,3.408085664749829391e+01
2.446285052772551438e+01,6.078457572972672551e+02,3.262985515486132471e+01
2.591132312827867779e+01,4.671718956774473099e+02,3.812625244790163492e+01
3.210590311253638873e+01,8.326721305819239660e+02,3.174588901213697056e+01
2.815804540386961108e+01,2.777943405059397151e+02,2.789312988564140028e+01
4.465121514177678819e+01,5.536285101839401932e+02,1.469044552331286368e+01
1.806134432244084209e+01,6.159618996566705391e+02,2.922155810666896159e+01
2.126630268284504055e+01,7.551651287476380503e+02,3.552017005067899191e+01
1.983928553654988747e+01,2.727085856259275829e+02,1.176648972634201407e+01
3.459324976396194984e+01,3.822076012302887875e+02,7.274274666038794024e+00
2.259874807619346271e+01,5.282412501521005197e+02,1.824035666234138375e+01
2.898932318568918731e+01,6.986357384161044592e+02,2.535565173864231170e+01
2.233276776004808184e+01,9.095686249739339928e+02,4.651478042673646485e+01
1.976908750936559045e+01,6.950609345931011376e+02,3.607648912382161654e+01
1.831125423492915516e+01,3.067691767479475402e+02,3.576677673128705237e+01
3.468988768395820443e+01,9.844641062298259158e+02,5.946410660600669473e+01
1.914548854045841608e+01,8.974285878043942830e+02,3.785844811478908412e+01
2.089747085040160357e+01,6.021766089162592834e+02,3.126777951873466677e+01
2.606175511982892345e+01,9.378783854373064059e+02,5.425892356780002501e+01
3.962979689543804795e+01,6.331046350057085874e+02,2.799827030412680529e+01
1.791303827379183744e+01,9.386448543113305050e+02,4.444452310371799086e+01
4.013834722496412155e+01,8.639178948826745454e+02,3.969780944933621214e+01
1.788295223681889112e+01,9.746291282354378609e+02,5.561592747617427790e+01
4.429378395040187399e+01,9.358262486225266912e+02,3.387872880803382003e+01
2.905953604943104551e+01,2.288270539428555708e+02,5.278704403997933170e+00
4.430283264571011159e+01,3.398176033287519431e+02,1.726492835033140594e+01
3.314536559235138213e+01,5.113077416809485953e+02,2.536532124035384683e+01
3.717790738194905487e+01,9.617141578363366534e+02,4.676374475218584337e+01
1.617563376762961980e+01,4.400231355807436557e+02,1.668558173923619137e+01
2.348420887729228923e+01,3.283741151100808224e+02,2.379564275920018446e+01
1.860589683639506831e+01,9.090437328692479468e+02,6.493027943186827144e+01
2.388420592566434664e+01,5.571155323865623359e+02,2.953151096352374694e+01
1.856183156862732275e+01,9.263004754834609003e+02,4.252707360181191376e+01
2.453949538181927892e+01,3.281843730561146231e+02,2.151267200356922871e+01
2.742788983544009795e+01,7.288940092064796090e+02,2.831058510925006999e+01
1.692442489046353060e+01,5.522110022635934001e+02,1.842120417710435021e+01
3.577416358110059491e+01,2.611894152242282985e+02,9.810141879238472029e+00
3.199804362619725495e+01,7.571705157220004594e+02,8.830755093780854992e+00
2.296168472818336426e+01,3.979190044313229464e+02,6.060278112227717173e+00
3.069744160400098920e+01,2.316924180636141841e+02,5.035258183572152824e+00
1.781821532275325026e+01,2.479554385996586063e+02,-2.917938183769528848e+00
3.227839486668537461e+01,2.488628296534298556e+02,-1.111129022918341036e+00
4.287888592728641868e+01,9.261863659880315254e+02,3.765394633209286468e+01
2.455706857353970918e+01,7.919071342632807955e+02,2.070999692050397911e+01
3.502231139891044620e+01,9.184498857709880895e+02,3.835954518606004626e+01
1.895393587213176545e+01,7.380658490372170490e+02,2.965519721931923414e+01
3.648981612355696313e+01,6.231519432247065424e+02,2.776266763272979077e+01
2.368218278841603208e+01,4.435570914779026452e+02,3.135147659999372038e+01
2.049574086021350539e+01,9.983698010629387909e+02,4.959396013205424936e+01
3.259538804430249570e+01,4.897512471515115067e+02,2.143864376656596349e+01
1.560322638562480613e+01,5.765191593711276710e+02,2.826017990030101856e+01
3.986820087652088773e+01,5.025961399387693973e+02,2.341691466049766746e+01
1.514086428577641286e+01,9.836215434683668946e+02,3.749960425874301251e+01
3.533449610388690587e+01,3.397267083160046468e+02,1.230513255770356196e+01
2.310023919576494578e+01,4.623904007264637244e+02,2.389700853511282475e+01
3.705582066367784932e+01,7.442789328120012442e+02,1.980076474880167581e+01
4.386565635352314985e+01,2.505660946709045334e+02,1.679826832635144385e+01
2.246259430559874204e+01,6.857994992092328630e+02,4.285747587448366858e+01
3.228472003253510536e+01,5.821172023011329202e+02,1.956362822730924833e+01
3.276125793815516829e+01,4.271999814096808450e+02,1.567049536213748162e+01
3.216755717372620182e+01,3.907306247392464229e+02,7.537872091488969417e+00
2.169244897921855042e+01,6.116101946390053854e+02,3.540506966990658810e+01
4.358247034550954879e+01,4.943420644296330693e+02,9.746633312471605137e+00
2.841376135852882001e+01,5.652159130101242681e+02,2.319464941222412691e+01
4.039226017413383829e+01,4.699819054113919492e+02,1.087067017507949807e+01
3.598437825952512981e+01,9.763949548767820943e+02,4.573085268799948722e+01
2.392310852565400836e+01,3.067515453964832091e+02,-4.997026297638450743e+00
3.941393459107431596e+01,2.774431625426993833e+02,2.319538109168447448e+01
2.689517222540953867e+01,4.747133830327328496e+02,1.140008768703305009e+01
4.143309591333484576e+01,6.728215206963930086e+02,3.009671327464893054e+01
3.243818617907575685e+01,7.273411774800225658e+02,3.099800980839046005e+01
4.145206085564558407e+01,5.178053977344336545e+02,1.412391868193214250e+01
3.577594770233297794e+01,9.994223951377368849e+02,3.751572362029419594e+01
3.675762839458921860e+01,4.815143969544340621e+02,2.976394244378737852e+01
3.003973145780106790e+01,7.771253343679619547e+02,3.059588764159859764e+01
4.368250904169671855e+01,7.100661556246343480e+02,3.384675872343515834e+01
3.431970597688912505e+01,8.504430905979685349e+02,3.107521507826577079e+01
2.771565145674539110e+01,9.809805307630559810e+02,3.980564707400066027e+01
3.319179642383772944e+01,9.118349251564321776e+02,4.699503811631632288e+01
1.557579594928000510e+01,8.116495794861668855e+02,4.832898434049150893e+01
2.404724450023648075e+01,7.585987822546325106e+02,3.377205063943777219e+01
3.480520612478055398e+01,4.683985357407196943e+02,5.720207458153561575e+00
2.370232821631332243e+01,3.181484625653658895e+02,3.351675110413700764e+01
3.354046286996524628e+01,2.501088024478478076e+02,5.859007530537727604e-01
2.786306102837298226e+01,3.935213633611878663e+02,1.473888068504223270e+00
1.906422192667350757e+01,5.458251849450389273e+02,5.132908293226611818e+01
2.394846977868092353e+01,6.175970189039860543e+02,2.444468102882184013e+01
3.209894732103794723e+01,8.184668432438973014e+02,2.309612054747699972e+01
3.272618283744519374e+01,9.669927384452744263e+02,3.824262097063238741e+01
3.222975746548736709e+01,2.938563843078488276e+02,1.514529242906639439e+01
3.459602459571401312e+01,2.856033121550332226e+02,1.272367872411965806e+01
3.456309810005066652e+01,6.717557784108405485e+02,2.161418713800106417e+01
2.794255306301921848e+01,7.963184591578343543e+02,5.524890365286939442e+01
4.189639787553188910e+01,8.785203042775879112e+02,3.452057864639247242e+01
2.602685610143689843e+01,9.486656641734308550e+02,3.298373169441234154e+01
2.807594775796880526e+01,9.867409938085136218e+02,5.613638889923540631e+01
4.175770065047016288e+01,5.198413537796207038e+02,3.510692608933084102e+01
3.918581967138257482e+01,5.042681468220584975e+02,1.311989439780240119e+01
3.611665750621099136e+01,3.182469413578178887e+02,-1.712791613123309631e+00
1.800680661936903348e+01,7.479475509468475138e+02,4.590107955956152352e+01
4.258447841234020359e+01,7.254095667526696616e+02,1.153879436581984308e+01
3.642723898647334124e+01,8.896500766809657534e+02,2.857356334143479870e+01
4.496541019703599318e+01,2.778063958301124785e+02,1.906824027230437579e+01
1.948344913973981107e+01,5.982215262602734356e+02,2.740920591881579682e+01
4.104378172104642886e+01,6.648655437376504551e+02,2.649952552885100232e+01
1.987478804029124291e+01,3.932456320319347469e+02,2.120296886251139767e+01
3.346678692851532588e+01,3.352203249033290149e+02,1.188659331686083220e+01
1.871459948548324448e+01,8.876646691356971814e+02,2.952490628660563488e+01
4.044024687966702913e+01,2.468279377884470307e+02,2.105812566151752208e+01
3.921956876175032392e+01,5.764967231344583070e+02,3.815301980941603688e+01
3.207302215843779436e+01,2.926672010407082212e+02,1.347938347397122882e+01
2.721549891677998900e+01,5.656470090650939255e+02,2.601214071589680188e+01
1.707500986365414164e+01,9.839698610738474827e+02,7.088724012752753367e+01
3.592286319433691233e+01,5.389650827643781668e+02,2.059163936862684352e+01
2.860628048034206472e+01,8.856999340036538797e+02,3.882859883380809407e+01
3.666166798411043715e+01,2.938524513465550854e+02,1.467126826132176554e+01
4.099146977785887458e+01,4.170016614094913052e+02,3.146415565411206217e+01
4.426564515008656997e+01,5.230341925338675537e+02,3.765285265585956154e+01
4.067410027177832887e+01,5.198497120074646318e+02,1.933934925642768832e+01
1.535142252555005982e+01,7.371067829361224994e+02,3.840350935384456932e+01
2.579934193435091672e+01,4.757745019004061078e+02,7.427956230944445792e+00
3.689971687272173995e+01,7.710134947280130291e+02,3.174094196996634665e+01
2.014889031784321460e+01,7.113495193803139500e+02,2.514968298243831057e+01
3.063109818612387869e+01,5.193289162038184941e+02,1.283501846858869833e+01
1.663013965017760754e+01,5.454081021234553646e+02,4.242315830382828779e+01
2.099989574689200111e+01,6.916221598482566151e+02,2.455825179966218741e+01
1.555565383381841826e+01,2.560337521157156857e+02,5.930063142289395017e+00
3.881093110072261965e+01,8.579253906845522124e+02,4.267366430332393179e+01
2.171774064181140318e+01,7.227369288909095530e+02,4.694332505010018508e+01
2.536055042090708156e+01,7.810739715342681393e+02,4.132879479851105486e+01
4.284243880396772397e+01,6.295384008659123083e+02,5.478622730311467137e+01
3.613243205770598365e+01,2.883816887933957673e+02,1.005916145138769480e+01
1.595516788593923607e+01,5.240284906375599121e+02,2.719307214558153518e+01
1.994082469493738330e+01,5.242988662788447982e+02,2.697686758428907083e+01
3.364435204499290677e+01,4.568343920345735114e+02,3.382777826512093355e+01
3.231685765812503064e+01,2.239602599237994980e+02,1.303871674147362469e+01
2.213678464123525913e+01,7.898033940771819061e+02,3.611419423586407618e+01
4.302641993774381035e+01,2.878275664500005746e+02,6.138503796568528514e-01
3.341897867897688457e+01,6.850465064360680572e+02,3.335486201352203750e+01
3.106898409074874934e+01,7.625739971737725682e+02,4.903524976253335410e+01
3.269729929063713314e+01,7.078290583469557760e+02,2.801790505170536960e+01
3.690366088550308632e+01,9.673138015823799378e+02,4.996476017473451492e+01
2.435834986438805672e+01,2.826385240681108826e+02,1.415756910381518097e+01
2.694663186648275399e+01,8.937337272841592721e+02,5.062721976137283519e+01
2.129531246925366617e+01,2.233521878791306108e+02,9.905407406524719960e-01
2.058579017641008591e+01,6.279334839416671912e+02,5.280456548470796463e+01
4.333117169951800918e+01,5.233948943514069470e+02,9.045016477335964922e+00
3.718652385147862560e+01,6.193470883150065447e+02,2.359319113074209184e+01
2.971376425852701431e+01,4.920799016480078194e+02,3.101354406560414745e+01
2.182243883919969818e+01,3.524535319520544476e+02,1.840776443862388589e+01
2.263069445311178640e+01,2.152983179589518272e+02,1.680170804344744795e+01
1.674087480971626718e+01,6.145198510329394139e+02,2.409088173084972340e+01
2.803249876674362184e+01,8.742214901478738511e+02,4.015977480391592280e+01
2.435387645982307703e+01,4.985727645958353378e+02,2.261557042019763486e+01
3.589030466446378398e+01,3.782910544119841916e+02,3.101811839951187721e+01
2.633255517877442742e+01,2.644256027774752624e+02,1.749231486482680964e+01
2.038811032678904311e+01,2.682487384949627085e+02,1.934034697571594563e+01
1.574036185173993729e+01,3.771171570342177688e+02,1.070256074116894318e+01
1.701748894389745814e+01,2.800112487372441592e+02,2.198763992810297196e+01
3.538178320495701712e+01,4.120317586915856509e+02,1.931922624977161718e+01
2.861090533668135905e+01,2.529195696935637727e+02,2.367634110778932666e+01
3.109737633326166417e+01,2.524838937679405149e+02,2.965505860425554019e+01
4.190013879121026719e+01,8.850209436982255511e+02,3.699337554552020890e+01
4.471016842190113039e+01,3.296962085670666056e+02,7.950762281712592028e+00
2.150690953195421784e+01,6.477459246587584403e+02,2.159615536871880437e+01
3.489234609300302736e+01,8.187644355592244665e+02,3.601319205149771818e+01
2.289967130211451973e+01,5.651276522712532824e+02,2.214616099384737780e+01
1.561952998397186043e+01,3.226951022874765727e+02,1.816784611168674246e+01
3.775135961508424032e+01,3.596769136960914466e+02,1.276304155395879114e+01
2.460051452467403621e+01,5.463873650249445291e+02,2.124332399096362423e+01
2.650391682515693859e+01,6.225872713428286715e+02,3.912482324590425975e+01
3.264951340660817181e+01,4.795522336388278859e+02,1.133385802976606094e+01
3.993145365708571148e+01,8.251836801877291236e+02,4.159711817519132637e+01
3.386945530773446222e+01,8.008173190851186973e+02,3.259450315159765665e+01
4.117951966342185699e+01,9.417694458984943822e+02,5.021420537728218392e+01
2.320626104446907334e+01,2.231620392215684205e+02,2.269009132385382088e+01
3.894140501737690840e+01,9.165530329681627109e+02,3.890252861242971960e+01
2.056907832917856638e+01,5.140550307697208154e+02,2.805617277829969680e+01
4.358374970915834012e+01,9.026979963039952963e+02,4.256445350161573060e+01
3.562464829163445756e+01,7.526278209252236593e+02,2.607470222166677587e+01
2.146523031340675303e+01,9.898790056591745952e+02,4.975530234903744287e+01
4.342111771466773007e+01,8.074259613733344167e+02,3.892039134998807270e+01
3.692567420310473381e+01,4.916357007974293083e+02,2.501792582402273979e+01
2.261824927785077577e+01,6.008505382678016531e+02,2.579671301740454936e+01
2.139935932102445904e+01,5.011113241554809861e+02,2.385755327877306797e+01
3.054602141791989567e+01,4.919294688169904930e+02,1.006576185062618300e+01
1.576988154163594658e+01,4.087235995048478117e+02,1.527805106628023069e+01
2.122410226323328430e+01,5.967762362987757569e+02,3.327602838571343824e+01
2.774056406254518947e+01,7.453919560554890040e+02,4.342028026983523148e+01
2.622509941002676470e+01,4.218722170441948265e+02,1.424795266995436016e+01
2.890726273094432131e+01,6.195038488617759640e+02,2.913160646432721279e+01
2.332886118884195525e+01,2.939042353364457085e+02,1.464285889917876204e+01
3.260353039374506068e+01,3.278762294833530291e+02,1.514825790183747500e+01
4.091566817769694353e+01,2.374450837697509940e+02,1.318842322372175779e+01
1.852595567886099204e+01,9.765851542165062256e+02,2.879588583910352284e+01
3.052137321462342356e+01,2.030882812082088833e+02,6.609036037472376890e+00
1.896204319035459918e+01,3.428639744461250416e+02,1.763733041573843963e+01
3.650579043577781135e+01,6.902934024935939306e+02,2.086078759156486129e+01
2.688179108421881125e+01,2.650956790826442102e+02,2.730646191581742954e+01
3.196263935575526816e+01,9.055172024774658439e+02,4.369518886067944408e+01
2.049839508642235941e+01,7.756961262738304868e+02,5.236901425533858401e+01
1.934543278030131574e+01,9.731119771503147149e+02,3.881582536115483606e+01
2.964168841946863608e+01,6.061084377926118805e+02,1.826825183243045814e+01
2.566838213549866765e+01,4.403229465267897922e+02,2.169183132244644341e+01
4.321295835758439097e+01,6.396004582362171504e+02,1.087184344776585476e+01
3.795975761420895367e+01,9.446549738383785098e+02,4.558642883675896229e+01
3.745990859551642416e+01,6.166091497934884273e+02,2.805665895015195943e+01
4.211159219237800500e+01,4.137656254898549264e+02,2.663377487067596050e+01
1.750267306326055561e+01,9.019190313392956568e+02,5.035609767228969957e+01
3.156577409767219677e+01,4.975349988099690677e+02,1.754539903188089767e+01
3.253428206867306471e+01,2.011066799991993150e+02,-4.173060754609787537e+00
4.385809135641687106e+01,3.981480179938527613e+02,3.264464397748392344e+01
2.376442580377646507e+01,4.545868073416498873e+02,1.243174758105335087e+01
2.222486339746340533e+01,8.870219745855217752e+02,3.167336681883509186e+01
1.800881826796493357e+01,5.668025336531559333e+02,1.569068426124685089e+01
1.549288888774422546e+01,5.556698302490406149e+02,3.740725577904424881e+01
4.288587950376571456e+01,4.688818131199099071e+02,1.396650066137040014e+01
3.509749639772729779e+01,9.045424984376636530e+02,3.418033062030445279e+01
3.855458736069412851e+01,9.560214215523130861e+02,4.532251060057971870e+01
2.345190317261847213e+01,9.935122633237034506e+02,4.526097574335041429e+01
3.259230498558980571e+01,5.013930135687893994e+02,1.502946557201802236e+01
1.691865798362943352e+01,9.729179565017370805e+02,5.449394669650871492e+01
2.956882787803868951e+01,8.335036557047210408e+02,4.937145491841212674e+01
4.432485419233340451e+01,7.405513181154134372e+02,4.244825557593600251e+01
4.129515735949772193e+01,3.959115835360795472e+02,2.333526013746619654e+01
2.514476855510536879e+01,3.731658087553678342e+02,2.017006889355820931e+01
4.384710463624495702e+01,3.328382596169965382e+02,-5.501677482392956620e+00
2.195104879413613475e+01,9.382052881802923139e+02,6.140766759337068947e+01
4.347956467247044543e+01,4.352613299065328647e+02,2.043500213165512847e+01
4.324133114119496213e+01,5.624753963591027741e+02,2.988120097984205614e+01
3.897607762057175051e+01,5.951662671897788641e+02,3.701032882690579129e+01
3.391343810600373843e+01,8.225372763602033501e+02,5.206904503622970992e+01
4.122863899874840854e+01,8.753879692424193308e+02,4.383051467533805123e+01
2.379060853523390051e+01,3.112581609188902121e+02,1.753930878537765636e+01
4.046830665938755089e+01,5.415234881688588757e+02,1.703710096790699424e+01
3.353630075752571571e+01,8.742839102683657302e+02,4.069146294905332439e+01
1.539710573276698469e+01,8.544266446046707415e+02,3.264000904881329745e+01
2.541700553796658824e+01,2.819310067619331335e+02,4.355444462881051138e+00
1.944422582844494940e+01,3.251066790943704063e+02,5.375167348732110995e+00
4.445488169454759486e+01,4.433589532795262471e+02,1.616222058454868105e+01
2.935110921119964189e+01,2.602872552666722754e+02,2.057018372141375551e+01
2.992174096495988067e+01,5.397304022724742936e+02,5.570409375002952146e+01
3.418417549196171024e+01,2.860941641196654928e+02,1.278128703226623841e+01
2.605753818388852494e+01,6.545740749358760695e+02,1.663881905084375390e+01
1.910700815056796742e+01,3.972455518489248902e+02,3.060141007595201046e+01
3.966353199582736977e+01,6.771464522796982237e+02,2.688313064964190247e+01
2.069543735708273857e+01,2.940205143229101168e+02,6.025396040667312825e+00
3.033956947639368096e+01,9.807070947348266827e+02,4.809989256833252824e+01
2.172951086924217634e+01,9.460489630858722876e+02,3.272325107180712678e+01
1.793533453482102047e+01,5.134375508517325670e+02,2.610297572919059306e+01
4.086574552265049931e+01,3.937428753008683771e+02,1.471681398078681902e+01
4.418758467069390861e+01,4.003185702828582180e+02,1.658094911522827886e+01
4.382503974189000928e+01,5.867148281619136014e+02,2.876739997599838716e+01
4.219666497663536830e+01,2.319942415205735813e+02,8.054968150773211377e+00
3.822141998095916193e+01,7.117640848601015477e+02,3.192944308603809134e+01
2.499435456085925722e+01,5.266423266717958995e+02,2.667582606748331386e+01
1.743304169963990091e+01,5.019252580711098517e+02,2.750696499530277350e+01
2.721723514241421782e+01,8.474919771913587283e+02,2.933805074217394449e+01
2.196702426512828055e+01,7.672283681466319649e+02,2.186480339396428718e+01
1.897462904273949036e+01,9.634670523141536478e+02,4.565950918971158501e+01
1.660281545360475874e+01,4.815489923965525918e+02,8.089813175126074896e+00
3.676783092631735883e+01,9.180342117195243645e+02,4.310024220256119065e+01
1.534282375875093152e+01,8.159737490000710523e+02,4.865187383095155838e+01
3.811742245508328608e+01,4.859397212757704096e+02,2.655636053744065350e+01
1.940839936201125226e+01,6.973323491626063060e+02,2.244407345367445927e+01
1.738566247760267203e+01,4.308559661213564596e+02,1.120160753873236636e+01
1.768809102715816195e+01,8.995199336598739137e+02,4.649020053028543487e+01
3.516143422061743706e+01,2.899418537698489899e+02,6.967971215095607462e+00
2.236101629558534398e+01,3.699474890352328202e+02,1.309471987168203810e+01
2.761618400040295285e+01,3.464266336639369115e+02,2.052877809563609190e+01
3.172106373971750770e+01,5.224208019234308722e+02,1.307606678762326879e+01
4.081653521486381209e+01,7.961863680257033593e+02,3.171531778068696283e+01
3.681132788133984945e+01,6.215259592417442036e+02,1.939434041310721213e+01
2.310983715716144005e+01,5.901410588305660667e+02,1.676477424545860373e+01
1.894448397873382817e+01,2.004367719175965306e+02,-4.433916887052014033e-01
1.666122961263593893e+01,5.403213802840436983e+02,3.212456774640271107e+01
2.404795903442827409e+01,2.508430198689267456e+02,1.065555898482772612e+01
2.286354447719034511e+01,3.666026016971870831e+02,7.252169348789571757e+00
2.868421700401438912e+01,9.459151511683954823e+02,4.211631978208837523e+01
3.549844006643041183e+01,3.723185634745905190e+02,-1.321988904135295684e+00
3.586876336916571972e+01,8.866701109074099350e+02,3.341350113261727017e+01
2.350556539746499851e+01,8.423146972490674216e+02,6.126092367137974293e+01
2.639780867700361711e+01,3.273169895537942580e+02,1.282363011333184666e+01
2.043452885210709269e+01,6.845695658162230757e+02,3.950161467590436359e+01
3.865636536919556221e+01,2.925294975240106510e+02,1.010595458783614653e+01
1.670544229299720840e+01,7.823105266956091555e+02,4.092667445789882663e+01
3.590991725174961857e+01,7.099698218977653141e+02,3.854008026650504348e+01
3.836086187823310212e+01,8.495508493528154759e+02,2.759529030455275489e+01
3.832222685546259555e+01,5.835076395113504759e+02,2.503379671728167466e+01
2.278267693036064756e+01,9.318904702667063020e+02,6.010490776446413719e+01
2.621439413797684281e+01,2.394791574307517692e+02,1.397512957206994422e+00
3.262798905589167475e+01,4.343108520216117086e+02,1.278834515816922490e+01
2.318465707273401222e+01,7.720420779721335975e+02,3.320672541766326447e+01
2.612558397653666020e+01,5.344873693984006877e+02,2.680205080402883766e+01
2.091162840556918923e+01,3.383610834169251120e+02,2.007606996674816457e+01
2.879567651268022388e+01,2.857685963428368154e+02,2.408297871406038837e+01
1.633836903762342274e+01,8.538712891692971425e+02,4.605470988938911603e+01
3.899387653711853829e+01,5.785143827725153187e+02,2.440580022693056961e+01
1.730869340959898040e+01,9.058269375352858788e+02,5.615214883191253392e+01
3.056505446494578138e+01,7.866313074533808276e+02,4.331617014759029161e+01
2.420430298635588429e+01,5.277809645045948628e+02,9.011822764023992960e+00
3.232628846494126407e+01,4.988088113245469231e+02,4.697149412329320484e+01
4.378300022500275190e+01,6.125106773210013671e+02,4.394644772551713174e+01
3.436710733368011716e+01,9.112479625517829618e+02,4.044354516655040044e+01
1.606087307266472664e+01,7.898228637713342550e+02,4.166415689868499328e+01
2.791207318524183734e+01,2.041223714152185948e+02,2.065849875219513621e+01
3.030050556954750718e+01,7.553262810953004873e+02,3.301425557084144913e+01
3.108532484110356009e+01,9.356059255246565272e+02,5.097528169589266867e+01
3.544177531811513404e+01,7.683646076035932992e+02,4.591983758408291294e+01
2.332788293195298479e+01,3.416046252539967440e+02,4.599183892160128906e+00
1.886581696398960517e+01,5.868145019419669097e+02,2.143082486487076466e+01
2.678027029641283008e+01,3.122528143387355613e+02,2.214869766540130769e+01
4.369217168387846328e+01,4.871962226717056410e+02,2.459873873668573907e+01
2.061392675252534445e+01,9.496936335524142123e+02,5.466125460550765069e+01
4.211951864784711574e+01,9.386442460469666003e+02,4.139458029102644332e+01
3.131417850231979116e+01,4.262694817408663539e+02,1.529200412726900815e+01
2.870734264937297553e+01,4.717048353329593056e+02,7.281127458769418581e-01
4.146124230689668622e+01,6.801702945050351445e+02,1.840238622948765368e+01
2.875811885305757443e+01,9.705578362083040247e+02,4.612274087169438275e+01
3.672502909834629747e+01,3.182410672523123480e+02,2.048512264842334929e+01
2.697075965109306139e+01,4.055333149493352494e+02,2.289137344771441107e+01
4.212133178702873693e+01,8.988454618326171612e+02,3.944772017265096764e+01
3.570075060573682180e+01,5.935137853666756200e+02,2.338789854285313652e+01
3.598866162751549780e+01,9.191688737816253933e+02,4.453137385271252668e+01
2.483161204671356614e+01,3.484143180185410529e+02,1.571966650717721947e+01
3.770335928210667475e+01,6.261348699770885560e+02,4.158186272004088124e+01
3.408183166341423487e+01,4.610157061194979065e+02,2.110700984441597328e+01
2.220060820139128666e+01,4.532340479139808167e+02,5.629181953586929410e+00
1.981616467455769026e+01,5.575015711569592440e+02,1.316788074006902498e+01
3.889174423551995119e+01,5.464619592810147424e+02,3.862151691013454524e+01
4.377499809105667339e+01,4.858775037423635581e+02,8.204770763511707088e+00
2.874416481780128407e+01,9.319766162524948641e+02,5.136938886117995651e+01
3.272952495971054532e+01,7.853953483463142220e+02,3.331308756925084680e+01
4.073167932580663830e+01,7.820375930652237457e+02,3.333112878165567139e+01
2.871670360061571259e+01,4.319307596735643529e+02,1.738353979593244603e+01
4.355623430498208393e+01,6.621675394534722727e+02,4.096660313676738951e+01
3.227253486134617333e+01,8.233435466414672419e+02,3.601150556049910278e+01
3.962301362103944768e+01,8.364722948345704481e+02,3.752812055117305334e+01
4.226531155238215121e+01,4.756243686034497955e+02,4.246652300939347313e+00
3.946571456305706249e+01,8.166982052549183209e+02,3.895524392352024989e+01
1.978243390346867869e+01,7.887151174461863548e+02,4.276793755174305289e+01
